Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
AAMGKX,9.5121,2015/12/14,20:01 EST,0.064,,,,,,,,,,,
ENOPKX,9.2142,2017/08/04,17:14 EDT,0.062,0.0,0.0,0.0,0,,,,,,,
QSVIX,25.26,2017/08/04,17:16 EDT,0.17,,,,,,,,,,,
FFGCX,11.88,2017/08/04,17:20 EDT,0.08,,,,,,,,,,,
FFGIX,11.88,2017/08/04,17:20 EDT,0.08,,,,,,,,,,,
XBBNX,23.74,2017/08/04,12:32 EDT,0.0,,,,,,,,,,,
GIGAEX,9.6163,2017/04/27,20:01 EDT,0.0649,,,,,,,,,,,
CANTX,8.89,2017/08/03,20:00 EDT,0.06,,,,,,,,,,,
BACIX,10.37,2017/08/04,17:30 EDT,0.07,,,,,,,,,,,
FFGAX,11.85,2017/08/04,17:20 EDT,0.08,,,,,,,,,,,
LCSAX,8.88,2017/08/03,20:01 EDT,0.06,,,,,,,,,,,
CABCOX,6.6742,2015/09/16,20:01 EDT,0.0451,,,,,,,,,,,
KDCIX,14.79,2017/02/23,20:01 EST,0.1,,,,,,,,,,,
ETCGX,28.09,2017/08/04,16:55 EDT,0.19,,,,,,,,,,,
TSBPAX,9.6621,2017/08/04,16:54 EDT,0.0654,,,,,,,,,,,
PROVX,13.28,2017/08/04,17:16 EDT,0.09,,,,,,,,,,,
FABCOX,9.2711,2016/12/29,20:01 EST,0.0629,,,,,,,,,,,
FHSPNX,11.7405,2017/08/04,17:00 EDT,0.0797,,,,,,,,,,,
ENPSX,27.98,2017/08/04,17:43 EDT,0.19,,,,,,,,,,,
SGQBX,23.55,2016/12/29,20:01 EST,0.16,,,,,,,,,,,
WAEMX,2.94,2017/08/04,17:18 EDT,0.02,,,,,,,,,,,
QSVCX,19.1,2017/08/04,17:16 EDT,0.13,,,,,,,,,,,
DCCAX,23.5,2017/08/04,17:24 EDT,0.16,,,,,,,,,,,
CFCIX,11.75,2016/05/23,06:16 EDT,0.08,,,,,,,,,,,
MGWBX,14.68,2017/08/04,17:31 EDT,0.1,,,,,,,,,,,
HMVTX,16.14,2017/08/04,17:18 EDT,0.11,,,,,,,,,,,
QLSCX,19.07,2017/08/04,17:31 EDT,0.13,,,,,,,,,,,
