RESULT_COUNT: 3074,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
AEZS,AEZS:US,BBG000LZRK22,2017-02-27,3.0,3.1,3.0,3.05,89632.0,0.0,1.0,3.0,3.1,3.0,3.05,89632.0
AFAM,AFAM:UW,BBG000H9HTQ1,2017-02-27,49.4,50.1,48.71,50.0,168321.0,0.0,1.0,49.4,50.1,48.71,50.0,168321.0
AFH,AFH:US,BBG003948N06,2017-02-27,13.55,13.6,13.5,13.6,82887.0,0.0,1.0,13.55,13.6,13.5,13.6,82887.0
AFMD,AFMD:US,BBG006R5SSH5,2017-02-27,2.0,2.1,2.0,2.0,113914.0,0.0,1.0,2.0,2.1,2.0,2.0,113914.0
AFSI,AFSI:UW,BBG000QBYFX9,2017-02-27,25.99,26.0,22.26,22.34,8844914.0,0.0,1.0,25.4727503319379,25.4825513132122,21.8169843166194,21.8953921668139,8844914.0
AGEN,AGEN:US,BBG000C8SWQ9,2017-02-27,3.85,4.25,3.85,4.22,2017751.0,0.0,1.0,3.85,4.25,3.85,4.22,2017751.0
AGFS,AGFS:UW,BBG00699CW58,2017-02-27,2.84,2.97,2.81,2.83,122352.0,0.0,1.0,2.84,2.97,2.81,2.83,122352.0
AGFSW,AGFSW:UW,BBG00699CX74,2017-02-27,0.11,0.1102,0.11,0.1102,15000.0,0.0,1.0,0.11,0.1102,0.11,0.1102,15000.0
AGII,AGII:UW,BBG000F4HYQ3,2017-02-27,67.8,68.0,67.1,67.225,94780.0,0.0,1.0,67.2378414975713,67.4361832129034,66.5436454939091,66.6676090659916,94780.0
AGIIL,AGIIL:UW,,2017-02-27,25.26,25.52,25.25,25.33,9834.0,0.0,1.0,25.26,25.52,25.25,25.33,9834.0
AGIO,AGIO:UW,BBG004P6MJ59,2017-02-27,47.63,50.56,47.51,50.36,699113.0,0.0,1.0,47.63,50.56,47.51,50.36,699113.0
AGLE,AGLE:US,BBG0067L94B2,2017-02-27,5.96,6.0,5.65,5.94,116477.0,0.0,1.0,5.96,6.0,5.65,5.94,116477.0
AGNC,AGNC:UW,BBG000TJ93C7,2017-02-27,19.5,19.63,19.5,19.53,2138919.0,0.0,1.0,18.6768225902474,18.801334740849,18.6768225902474,18.7055561634631,2138919.0
